name,position,age,team,games_played,targets,rush_attempts,receptions,receiving_yards,rushing_yards,receiving_tds,rushing_tds,fantasy_points,points_per_game,pass_attempts,passing_yards,passing_tds,interceptions,completions,value
Puka Nacua,WR,24.0,LA,16.0,166.0,10.0,129.0,1715.0,105.0,10.0,1.0,375.0,23.44,0.0,0.0,0.0,0.0,0.0,377.33500000000004
Jaxon Smith-Njigba,WR,24.0,SEA,17.0,163.0,0.0,119.0,1793.0,0.0,10.0,0.0,359.9,21.17,0.0,0.0,0.0,0.0,0.0,351.19823529411764
Emeka Egbuka,WR,23.0,TB,17.0,127.0,2.0,63.0,938.0,9.0,6.0,0.0,195.7,11.51,0.0,0.0,0.0,0.0,0.0,231.9805882352941
Luther Burden III,WR,22.0,CHI,15.0,60.0,6.0,47.0,652.0,37.0,2.0,0.0,127.9,7.52,0.0,0.0,0.0,0.0,0.0,179.96999999999997
Jaylen Waddle,WR,27.0,DEN,16.0,100.0,2.0,64.0,910.0,28.0,6.0,0.0,194.1,12.13,0.0,0.0,0.0,0.0,0.0,194.15
Tee Higgins,WR,27.0,CIN,15.0,98.0,0.0,59.0,846.0,0.0,11.0,0.0,211.6,14.16,0.0,0.0,0.0,0.0,0.0,226.63333333333333
Marquise Brown,WR,28.0,PHI,16.0,74.0,0.0,49.0,587.0,0.0,5.0,0.0,137.7,8.61,0.0,0.0,0.0,0.0,0.0,143.935
Kyle Willimas,WR,23.0,NE,17.0,21.0,2.0,10.0,209.0,3.0,3.0,0.0,49.2,2.89,0.0,0.0,0.0,0.0,0.0,112.91529411764705
Calvin Ridley,WR,31.0,TEN,7.0,36.0,0.0,17.0,303.0,0.0,0.0,0.0,47.3,6.78,0.0,0.0,0.0,0.0,0.0,42.292857142857144
Christian McCaffrey,RB,29.0,SF,17.0,129.0,311.0,102.0,924.0,1202.0,7.0,10.0,416.6,24.51,0.0,0.0,0.0,0.0,0.0,304.1823529411765
Bijan Robinson,RB,24.0,ATL,17.0,103.0,287.0,79.0,820.0,1478.0,4.0,7.0,370.8,21.81,0.0,0.0,0.0,0.0,0.0,308.16117647058826
Jahmyr Gibbs,RB,24.0,DET,17.0,94.0,243.0,77.0,616.0,1223.0,5.0,13.0,366.9,21.58,0.0,0.0,0.0,0.0,0.0,339.5335294117647
Jonathan Taylor,RB,27.0,IND,17.0,55.0,323.0,46.0,378.0,1585.0,2.0,18.0,362.3,21.31,0.0,0.0,0.0,0.0,0.0,278.1052941176471
Omarion Hampton,RB,23.0,LAC,9.0,35.0,124.0,32.0,192.0,545.0,1.0,4.0,135.7,15.08,0.0,0.0,0.0,0.0,0.0,192.35666666666668
Travis Etienne Jr,RB,27.0,JAX,17.0,52.0,260.0,36.0,292.0,1107.0,6.0,7.0,253.9,14.94,0.0,0.0,0.0,0.0,0.0,191.10294117647058
Chuba Hubard,RB,26.0,CAR,15.0,39.0,134.0,30.0,223.0,511.0,3.0,1.0,125.4,8.36,0.0,0.0,0.0,0.0,0.0,106.31333333333333
Brashard Smith,RB,22.0,KC,17.0,35.0,44.0,25.0,172.0,151.0,1.0,0.0,63.3,3.72,0.0,0.0,0.0,0.0,0.0,113.7570588235294
DJ Giddens,RB,22.0,IND,9.0,2.0,26.0,0.0,0.0,96.0,0.0,0.0,9.6,1.07,0.0,0.0,0.0,0.0,0.0,68.35111111111111
Brock Bowers,TE,23.0,LV,12.0,86.0,2.0,64.0,680.0,2.0,7.0,0.0,176.2,14.68,0.0,0.0,0.0,0.0,0.0,255.8733333333333
Trey McBride,TE,26.0,ARI,17.0,169.0,0.0,126.0,1239.0,0.0,11.0,0.0,315.9,18.58,0.0,0.0,0.0,0.0,0.0,338.59235294117644
Jake Ferguson,TE,27.0,DAL,17.0,102.0,1.0,82.0,600.0,1.0,8.0,0.0,188.1,11.06,0.0,0.0,0.0,0.0,0.0,222.25
Dalton Kincaid,TE,26.0,BUF,12.0,49.0,0.0,39.0,571.0,0.0,5.0,0.0,126.1,10.51,0.0,0.0,0.0,0.0,0.0,164.91666666666669
Chig Okonkwo,TE,26.0,WAS,17.0,79.0,0.0,56.0,560.0,0.0,2.0,0.0,124.0,7.29,0.0,0.0,0.0,0.0,0.0,152.05411764705883
Travis Kelce,TE,36.0,KC,17.0,108.0,1.0,76.0,851.0,1.0,5.0,0.0,193.2,11.36,0.0,0.0,0.0,0.0,0.0,112.66588235294118
Evan Engram,TE,31.0,DEN,16.0,76.0,1.0,50.0,461.0,7.0,1.0,0.0,102.8,6.43,0.0,0.0,0.0,0.0,0.0,85.9
Josh Allen,QB,29.0,BUF,17.0,0.0,112.0,0.0,0.0,579.0,0.0,14.0,374.62,22.04,460.0,3668.0,25.0,10.0,319.0,304.59294117647056
Drake Maye,QB,23.0,NE,17.0,0.0,103.0,0.0,0.0,450.0,0.0,4.0,359.96,21.17,492.0,4394.0,31.0,8.0,354.0,314.11411764705883
Lamar Jackson,QB,29.0,BAL,13.0,0.0,67.0,0.0,0.0,349.0,0.0,2.0,221.86,17.07,302.0,2549.0,21.0,7.0,192.0,196.83153846153846
Brock Purdy,QB,26.0,SF,9.0,0.0,33.0,0.0,0.0,147.0,0.0,3.0,187.38,20.82,284.0,2167.0,20.0,10.0,197.0,294.93555555555554
Bo Nix,QB,26.0,DEN,17.0,0.0,83.0,0.0,0.0,356.0,0.0,5.0,315.84,18.58,612.0,3931.0,25.0,11.0,388.0,282.66235294117644
Tua Tagovailoa,QB,28.0,ATL,14.0,0.0,20.0,0.0,0.0,43.0,0.0,0.0,175.7,12.55,384.0,2660.0,20.0,15.0,260.0,172.73571428571427
