rank,name,position,team,age,games_played,points_per_game,value
1,Puka Nacua,WR,LA,24.0,16.0,23.44,377.33500000000004
2,Jaxon Smith-Njigba,WR,SEA,24.0,17.0,21.17,351.19823529411764
3,Jahmyr Gibbs,RB,DET,24.0,17.0,21.58,339.5335294117647
4,Trey McBride,TE,ARI,26.0,17.0,18.58,338.59235294117644
5,Drake Maye,QB,NE,23.0,17.0,21.17,314.11411764705883
6,Bijan Robinson,RB,ATL,24.0,17.0,21.81,308.16117647058826
7,Josh Allen,QB,BUF,29.0,17.0,22.04,304.59294117647056
8,Christian McCaffrey,RB,SF,29.0,17.0,24.51,304.1823529411765
9,Brock Purdy,QB,SF,26.0,9.0,20.82,294.93555555555554
10,Bo Nix,QB,DEN,26.0,17.0,18.58,282.66235294117644
11,Jonathan Taylor,RB,IND,27.0,17.0,21.31,278.1052941176471
12,Tetairoa McMillan,WR,CAR,22.0,17.0,12.44,259.0764705882353
13,Brock Bowers,TE,LV,23.0,12.0,14.68,255.8733333333333
14,Zay Flowers,WR,BAL,25.0,17.0,14.31,248.91117647058826
15,Emeka Egbuka,WR,TB,23.0,17.0,11.51,231.9805882352941
16,Tee Higgins,WR,CIN,27.0,15.0,14.16,226.63333333333333
17,Jake Ferguson,TE,DAL,27.0,17.0,11.06,222.25
18,Lamar Jackson,QB,BAL,29.0,13.0,17.07,196.83153846153846
19,Jaylen Waddle,WR,DEN,27.0,16.0,12.13,194.15
20,Omarion Hampton,RB,LAC,23.0,9.0,15.08,192.35666666666668
21,Travis Etienne Jr,RB,JAX,27.0,17.0,14.94,191.10294117647058
22,Brian Thomas Jr,WR,JAX,23.0,14.0,9.91,189.42000000000002
23,Luther Burden III,WR,CHI,22.0,15.0,7.52,179.96999999999997
24,Tua Tagovailoa,QB,ATL,28.0,14.0,12.55,172.73571428571427
25,Dalton Kincaid,TE,BUF,26.0,12.0,10.51,164.91666666666669
26,Chig Okonkwo,TE,WAS,26.0,17.0,7.29,152.05411764705883
27,Marquise Brown,WR,PHI,28.0,16.0,8.61,143.935
28,Shedeur Sanders,QB,CLE,24.0,8.0,11.86,121.92
29,Brashard Smith,RB,KC,22.0,17.0,3.72,113.7570588235294
30,Kyle Willimas,WR,NE,23.0,17.0,2.89,112.91529411764705
31,Travis Kelce,TE,KC,36.0,17.0,11.36,112.66588235294118
32,Chuba Hubard,RB,CAR,26.0,15.0,8.36,106.31333333333333
33,Evan Engram,TE,DEN,31.0,16.0,6.43,85.9
34,DJ Giddens,RB,IND,22.0,9.0,1.07,68.35111111111111
35,Calvin Ridley,WR,TEN,31.0,7.0,6.78,42.292857142857144
