gsis_id,name,position,team,age,completions_per_game,attempts_per_game,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0041203,Joey Aguilar,QB,JAX,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041565,Drew Allar,QB,PIT,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032434,Brandon Allen,QB,NYG,33.97,10.201,18.0,55.899,0.099,0.7010000000000001,0.3,0.399,0.0,1.076
00-0034857,Josh Allen,QB,BUF,30.26,20.257,30.244,235.24,1.6470000000000002,0.636,6.72,34.215999999999994,0.841,23.122
00-0034577,Kyle Allen,QB,BUF,30.46,0.3,0.8,5.7,0.0,0.0,1.184,-1.184,0.0,0.10899999999999997
00-0041453,Luke Altmyer,QB,DET,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038416,Tyson Bagent,QB,CHI,26.21,4.66,6.870000000000001,46.935,0.12,0.24,1.8699999999999999,5.585000000000001,0.08000000000000002,2.7540000000000004
00-0040415,Connor Bazelak,QB,TB,25.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041561,Carson Beck,QB,ARI,24.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039107,Stetson Bennett,QB,LA,28.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039534,Carter Bradley,QB,JAX,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033119,Jacoby Brissett,QB,ARI,33.7,17.121,26.52,178.015,1.2069999999999999,0.32699999999999996,2.297,10.558,0.035,12.349
00-0040494,Max Brosmer,QB,MIN,25.41,6.71,10.14,46.86,0.0,0.57,1.0,1.57,0.0,0.6
00-0035100,Jake Browning,QB,TB,30.37,11.9,17.9,120.122,0.866,0.9560000000000001,1.8,6.422000000000001,0.166,8.055
00-0036679,Shane Buechele,QB,BUF,28.63,3.5,7.0,44.0,0.0,0.0,0.5,2.0,0.0,1.96
00-0036442,Joe Burrow,QB,CIN,29.71,23.808,34.995000000000005,246.02700000000002,2.1189999999999998,0.589,2.236,7.866,0.036,17.928
00-0041414,Matthew Caldwell,QB,LA,23.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040996,Jacob Clark,QB,LV,25.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038391,Sean Clifford,QB,CIN,28.12,0.1,0.1,3.7,0.0,0.0,0.30000000000000004,-0.2,0.0,0.128
00-0040398,Brady Cook,QB,NYJ,24.87,17.6,30.6,147.8,0.4,1.4,2.6,9.8,0.0,5.69
00-0029604,Kirk Cousins,QB,LV,38.02,20.192,30.933999999999997,219.497,1.337,0.716,1.5419999999999998,0.9740000000000001,0.05,12.696
00-0027973,Andy Dalton,QB,PHI,38.82,11.826,18.426000000000002,122.174,0.6759999999999999,0.425,1.4740000000000002,2.651,0.0,6.503
00-0041251,Jalon Daniels,QB,TB,23.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039910,Jayden Daniels,QB,WAS,25.68,17.482499999999998,27.377499999999998,191.38624999999996,1.26375,0.46749999999999997,8.4475,44.4725,0.3125,18.055
00-0034869,Sam Darnold,QB,SEA,29.22,16.432,24.567999999999998,201.21800000000002,1.393,0.643,2.6319999999999997,6.836,0.038000000000000006,12.829
00-0040691,Jaxson Dart,QB,NYG,23.29,15.43,24.21,162.29,1.07,0.36,6.14,34.79,0.64,17.26
00-0038476,Tommy DeVito,QB,NE,28.05,7.183999999999999,10.556000000000001,63.016,0.17800000000000002,0.066,2.0,9.134,0.022000000000000002,4.1
00-0040656,Hunter Dekkers,QB,NO,25.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033949,Joshua Dobbs,QB,DET,31.58,9.705,14.716000000000001,100.18299999999999,0.5,0.454,3.784,9.451,0.392,7.978999999999999
00-0040942,Kyron Drones,QB,GB,23.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036879,Sam Ehlinger,QB,DEN,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040234,Quinn Ewers,QB,MIA,23.45,13.75,20.75,155.5,0.75,0.75,2.0,4.75,0.0,8.29
00-0040981,Joe Fagnano,QB,BAL,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036945,Justin Fields,QB,KC,27.47,13.782,21.857,142.541,0.786,0.22299999999999998,7.712999999999999,40.058,0.432,15.04
00-0026158,Joe Flacco,QB,CIN,41.61,21.517,34.789,235.456,1.608,1.0050000000000001,1.5570000000000002,2.5380000000000003,0.04,13.919
00-0040704,Dillon Gabriel,QB,CLE,25.66,11.0,18.5,93.7,0.7,0.2,1.4,8.6,0.0,7.01
00-0033106,Jared Goff,QB,DET,31.86,23.23,33.631,269.746,2.0060000000000002,0.59,1.554,2.56,0.024,17.863999999999997
00-0041092,Taylen Green,QB,CLE,23.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041156,Mark Gronowski,QB,MIA,24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038998,Jake Haener,QB,NYG,27.46,0.6749999999999999,1.464,8.475,0.036,0.036,0.414,0.825,0.0,0.49799999999999994
00-0039677,Sam Hartman,QB,WAS,27.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036355,Justin Herbert,QB,LAC,28.46,21.054000000000002,31.911,232.981,1.5230000000000001,0.5670000000000001,4.6129999999999995,24.468,0.14200000000000002,17.604
00-0038550,Hendon Hooker,QB,TEN,28.61,0.6,0.8999999999999999,6.2010000000000005,0.0,0.0,0.501,0.201,0.0,0.267
00-0040203,Will Howard,QB,PIT,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037077,Sam Howell,QB,DAL,25.94,6.064,11.4,53.62400000000001,0.248,0.548,0.8639999999999999,3.6940000000000004,0.057999999999999996,2.7780000000000005
00-0035993,Tyler Huntley,QB,BAL,28.56,11.2,16.16,100.46000000000001,0.5,0.18,4.5600000000000005,25.4,0.12,8.678
00-0036389,Jalen Hurts,QB,PHI,28.05,18.291,27.741,204.197,1.4100000000000001,0.465,8.128,32.873000000000005,0.7050000000000001,19.911
00-0034796,Lamar Jackson,QB,BAL,29.63,16.8,25.691,217.639,1.8330000000000002,0.43000000000000005,6.879,39.833,0.209,20.001
00-0026300,Josh Johnson,QB,CIN,40.28,5.815,9.225,63.275,0.165,0.335,2.3,9.239999999999998,0.165,4.125
00-0035710,Daniel Jones,QB,IND,29.25,20.119999999999997,30.334,211.67,1.036,0.72,5.074,21.125999999999998,0.28400000000000003,14.667
00-0036972,Mac Jones,QB,SF,27.97,18.337,27.267,186.481,1.012,0.7330000000000001,2.947,7.231,0.03,10.727
00-0041117,Athan Kaliakmanis,QB,WAS,23.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028986,Case Keenum,QB,CHI,38.52,3.4000000000000004,5.300000000000001,29.1,0.1,0.30000000000000004,0.2,0.1,0.0,0.9740000000000001
00-0041149,Haynes King,QB,CAR,25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041056,Cade Klubnik,QB,NYJ,22.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037012,Trey Lance,QB,LAC,26.29,5.25,10.2,48.2,0.0,0.2,2.95,13.7,0.0,2.652
00-0036971,Trevor Lawrence,QB,JAX,26.89,19.814,32.04,229.405,1.447,0.741,4.066000000000001,18.368000000000002,0.405,17.583
00-0040206,Riley Leonard,QB,IND,23.95,7.8,13.4,83.0,0.4,0.6,1.2,5.4,0.4,6.2
00-0039152,Will Levis,QB,TEN,27.16,8.061,13.19,92.453,0.502,0.388,1.681,5.841,0.022000000000000002,5.265000000000001
00-0035704,Drew Lock,QB,SEA,29.79,7.322,12.058,75.55000000000001,0.40800000000000003,0.363,2.021,5.565,0.087,4.906
00-0036264,Jordan Love,QB,GB,27.81,19.436999999999998,29.945999999999998,229.409,1.642,0.549,2.654,11.2,0.069,16.271
00-0033873,Patrick Mahomes,QB,KC,30.94,23.612000000000002,36.285,254.043,1.609,0.778,4.309,25.689,0.216,19.014000000000003
00-0032268,Marcus Mariota,QB,WAS,32.82,11.849,18.051000000000002,137.549,0.999,0.44999999999999996,5.1,29.250999999999998,0.14900000000000002,12.026
00-0038658,Adrian Martinez,QB,SF,26.63,0.0,0.0,0.0,0.0,0.0,0.625,-0.625,0.0,-0.0625
00-0039851,Drake Maye,QB,NE,23.99,19.503749999999997,27.8375,227.19875000000002,1.5687499999999999,0.5824999999999999,5.34375,28.686249999999998,0.20625,18.04875
00-0034855,Baker Mayfield,QB,TB,31.37,21.554000000000002,32.687,235.60899999999998,1.818,0.725,3.409,19.825,0.096,17.68
00-0039923,J.J. McCarthy,QB,MIN,23.6,8.75,15.1875,102.0,0.6875,0.75,2.3125,11.3125,0.25,7.8374999999999995
00-0040014,Kyle McCord,QB,GB,23.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038400,Tanner McKee,QB,PHI,26.33,7.5,12.125,82.69999999999999,0.725,0.125,1.75,0.85,0.0,6.042999999999999
00-0041562,Fernando Mendoza,QB,LV,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040211,Graham Mertz,QB,HOU,25.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040222,Cam Miller,QB,MIA,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036898,Davis Mills,QB,HOU,27.84,9.805,17.509999999999998,99.07,0.495,0.085,1.39,6.1850000000000005,0.085,7.147
00-0040673,Jalen Milroe,QB,SEA,23.7,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.0,-0.53
00-0039398,Joe Milton III,QB,DAL,26.47,10.593749999999998,14.624999999999998,118.96874999999999,0.53125,0.3125,4.53125,13.8125,0.37499999999999994,8.827499999999999
00-0035289,Gardner Minshew,QB,ARI,30.28,10.652,16.929000000000002,106.327,0.458,0.5369999999999999,1.744,3.24,0.038000000000000006,5.301
00-0041123,Behren Morton,QB,NE,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041172,Miller Moss,QB,CHI,24.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033319,Nick Mullens,QB,JAX,31.43,4.525,6.445000000000001,57.465,0.27999999999999997,0.32000000000000006,2.125,-0.15000000000000002,0.0,2.764
