gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,carries_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0038389,Israel Abanikanda,RB,DAL,23.9,0.23399999999999999,0.36600000000000005,1.4340000000000002,0.0,0.734,2.334,0.0,0.61,0
00-0032104,Ameer Abdullah,RB,JAX,33.21,1.654,1.8940000000000001,10.668,0.06,2.048,9.641,0.079,4.477,0
00-0039040,De'Von Achane,RB,MIA,24.87,3.962,4.8629999999999995,29.278,0.28400000000000003,12.894,72.741,0.501,18.85,5120
00-0041221,Jackson Acker,RB,BUF,23.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036020,Salvon Ahmed,RB,CHI,27.66,0.458,0.658,2.5140000000000002,0.028000000000000004,0.6280000000000001,1.7420000000000002,0.028000000000000004,1.226,0
00-0039796,Rasheen Ali,RB,BAL,25.53,0.375,0.60625,2.8312500000000003,0.043750000000000004,1.0437499999999997,3.3249999999999997,0.0,1.23875,0
00-0039794,Braelon Allen,RB,NYJ,22.6,0.7324999999999999,1.065,5.922499999999999,0.022499999999999996,4.84125,19.24375,0.20124999999999998,4.272499999999999,257
00-0041096,Kaytron Allen,RB,WAS,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221
00-0040238,LeQuint Allen Jr.,RB,JAX,22.06,0.62,0.69,3.38,0.0,1.44,5.88,0.0,1.55,112
00-0037263,Tyler Allgeier,RB,ARI,26.37,0.85,0.968,6.649,0.012,8.811,34.519999999999996,0.33699999999999997,7.113,333
00-0037085,Tyler Badie,RB,DEN,27.55,0.895,1.27,4.204000000000001,0.0,1.351,9.321000000000002,0.0,2.044,0
00-0041139,Damon Bankston,RB,NYG,23.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0034844,Saquon Barkley,RB,PHI,29.55,2.359,3.225,17.744,0.154,18.746,86.96,0.549,17.111,2964
00-0041165,Coleman Bennett,RB,CHI,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039921,Trey Benson,RB,ARI,24.1,2.21875,2.6875,11.844999999999999,0.0,6.5,34.09375,0.029999999999999995,7.00125,162
00-0040476,Ulysses Bentley IV,RB,IND,25.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
00-0038555,Tank Bigsby,RB,PHI,24.0,0.24800000000000003,0.422,2.1710000000000003,0.0,6.02,28.259,0.227,4.595000000000001,243
00-0041052,Kaelon Black,RB,SF,24.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219
00-0037429,Raheem Blackshear,RB,DET,28.23,0.134,0.15600000000000003,1.0,0.0,0.5940000000000001,2.5220000000000002,0.0,0.53,0
00-0040586,Jaydon Blue,RB,DAL,22.64,0.2,0.2,1.0,0.0,7.6,25.8,0.2,4.08,206
00-0041277,Davon Booth,RB,CLE,24.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041081,Max Bredeson,RB,MIN,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036569,Gary Brightwell,RB,CIN,28.5,0.25,0.35000000000000003,2.35,0.0,0.45,0.9500000000000001,0.0,0.58,0
00-0039603,British Brooks,RB,HOU,26.78,0.0,0.0,0.0,0.0,1.5125000000000002,6.46875,0.0,0.65,0
00-0038685,Chris Brooks,RB,GB,26.63,0.6799999999999999,0.854,4.555999999999999,0.0,3.042,15.178,0.027,2.8179999999999996,112
00-0039344,Jonathon Brooks,RB,CAR,23.11,0.37499999999999994,0.37499999999999994,2.8762499999999998,0.0,1.1249999999999998,2.74875,0.0,0.9374999999999999,846
00-0040208,Tahj Brooks,RB,CIN,24.29,0.08,0.17,0.75,0.0,1.33,3.75,0.0,0.53,26
00-0037329,Brittain Brown,RB,CHI,28.88,0.0,0.25,0.0,0.0,1.25,9.25,0.25,2.425,0
00-0038597,Chase Brown,RB,CIN,26.44,3.2779999999999996,4.058,22.205,0.236,11.852,51.518,0.307,13.984000000000002,3458
00-0041241,Kentrel Bullock,RB,CIN,24.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041433,Kadarius Calloway,RB,TB,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0036924,Michael Carter,RB,TEN,27.31,2.691,3.245,17.316,0.014000000000000002,7.441,28.405,0.139,8.173,61
00-0040547,Nate Carter,RB,ATL,24.27,0.0,0.0,0.0,0.0,4.5,30.0,0.0,2.0,0
00-0041486,Anderson Castle,RB,IND,24.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037276,Ty Chandler,RB,NO,28.3,0.891,1.106,4.723,0.0,5.311,17.497,0.038000000000000006,3.336,0
00-0039165,Zach Charbonnet,RB,SEA,25.64,1.778,2.168,13.112,0.018,9.482,38.626999999999995,0.528,10.293,507
00-0037594,Julius Chestnut,RB,TEN,25.84,0.051000000000000004,0.135,0.276,0.0,0.894,3.8,0.0,0.458,0
00-0041104,Demond Claiborne,RB,MIN,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191
00-0041496,Jonah Coleman,RB,DEN,23.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614
00-0039244,Chris Collier,RB,LV,26.43,0.06375,0.12374999999999999,-0.25125,0.0,0.3112499999999999,0.7499999999999999,0.0,0.11249999999999998,0
00-0033553,James Conner,RB,ARI,31.32,2.633,3.04,16.637,0.21300000000000002,12.96,52.349000000000004,0.42300000000000004,13.408,96
00-0041415,Dean Connors,RB,LA,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0037248,James Cook,RB,BUF,26.92,2.088,2.5250000000000004,18.632,0.144,15.76,79.793,0.679,16.629,4666
00-0037410,Jashaun Corbin,RB,DAL,26.02,0.2,0.2,0.8,0.0,0.066,0.066,0.0,0.286,0
00-0039738,Blake Corum,RB,LA,25.76,0.4699999999999999,0.7112499999999999,2.77625,0.0,6.7825,32.6,0.21875,5.33,696
00-0040242,Jacory Croskey-Merritt,RB,WAS,25.38,0.53,0.76,4.0,0.0,10.29,47.35,0.47,8.25,557
00-0036425,DeeJay Dallas,RB,JAX,27.95,0.127,0.263,0.513,0.018,0.586,3.442,0.0,0.747,0
00-0039798,Isaiah Davis,RB,NYJ,24.52,1.0775000000000001,1.43875,9.42625,0.029999999999999995,2.5475,14.236249999999998,0.06749999999999999,4.1049999999999995,52
00-0037563,Malik Davis,RB,DAL,27.75,0.1,0.25,0.8,0.0,2.6,12.5,0.1,2.03,196
00-0041485,Miles Davis,RB,CAR,24.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
