gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game,market_value
00-0038783,Nate Adkins,TE,DEN,27.13,0.9390000000000001,1.415,7.180999999999999,0.14500000000000002,0.0,0.0,2.518,0
00-0033217,Mo Alie-Cox,TE,IND,32.93,1.076,1.7730000000000001,11.295,0.111,0.0,0.0,2.916,0
00-0039814,Erick All,TE,CIN,25.95,0.9374999999999999,1.0312499999999998,7.406249999999999,0.0,0.0,0.0,1.6762499999999996,188
00-0039074,Davis Allen,TE,LA,25.56,1.344,1.9720000000000002,11.32,0.128,0.0,0.0,3.2460000000000004,0
00-0034753,Mark Andrews,TE,BAL,30.97,3.282,4.497999999999999,35.167,0.45999999999999996,1.4969999999999999,0.03,9.896,323
00-0041314,Tanner Arkin,TE,NE,23.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040739,Elijah Arroyo,TE,SEA,23.39,1.15,2.0,13.77,0.08,0.0,0.0,2.84,146
00-0039793,AJ Barner,TE,SEA,24.32,2.6625,3.4487499999999995,25.205,0.32,0.5125,0.0375,7.373749999999999,323
00-0040215,Gavin Bartholomew,TE,MIN,23.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039458,Brenden Bates,TE,CLE,26.86,0.5,1.0,6.0,0.0,0.0,0.0,1.1,0
00-0036628,John Bates,TE,WAS,28.8,0.99,1.4740000000000002,9.102,0.05,0.0,0.0,2.152,0
00-0039420,Jaheim Bell,TE,PIT,25.2,0.18749999999999997,0.28124999999999994,1.8749999999999998,0.0,0.0,0.0,0.37499999999999994,0
00-0038115,Daniel Bellinger,TE,TEN,25.93,1.439,1.826,17.768,0.075,0.0,0.0,3.675,0
00-0041133,Dallen Bentley,TE,DEN,25.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041576,Drew Biber,TE,CLE,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041503,Nate Boerkircher,TE,JAX,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039338,Brock Bowers,TE,LV,23.7,5.802499999999999,7.856249999999999,61.75874999999999,0.47124999999999995,0.39125,0.0,14.96875,5929
00-0039550,Shawn Bowman,TE,ARI,26.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0041373,Jerand Bradley,TE,LAC,23.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0040081,Jake Briningstool,TE,KC,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0033439,Pharaoh Brown,TE,IND,32.31,0.6759999999999999,0.8320000000000001,5.832,0.018,0.0,0.0,1.2730000000000001,0
00-0036145,Lawrence Cager,TE,WAS,29.02,0.16000000000000003,0.2,1.4400000000000002,0.04000000000000001,0.0,0.0,0.544,0
00-0037086,Grant Calcaterra,TE,PHI,27.73,1.246,1.5859999999999999,12.780999999999999,0.076,0.0,0.0,2.9779999999999998,0
00-0035039,Stephen Carlson,TE,CHI,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0039263,McCallan Castles,TE,GB,26.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0034270,Tyler Conklin,TE,DET,31.08,2.26,3.2089999999999996,24.139,0.075,0.165,0.0,5.174,0
