gsis_id,name,position,team,age,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,rushing_yards_per_game,rushing_tds_per_game,points_per_game
00-0031381,Davante Adams,WR,LA,33.67,5.178,9.149000000000001,64.417,0.765,0.0,0.0,16.253999999999998
00-0038994,Jordan Addison,WR,MIN,24.58,3.584,6.069999999999999,50.002,0.40299999999999997,3.318,0.05600000000000001,11.68
00-0036261,Brandon Aiyuk,WR,SF,28.44,2.0090000000000003,3.325,32.805,0.08800000000000001,0.0,0.0,5.789
00-0037708,Maurice Alexander,WR,CHI,29.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040890,Cyrus Allen,WR,KC,23.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0030279,Keenan Allen,WR,IND,34.33,5.443,8.318999999999999,56.859,0.369,0.09200000000000001,0.0,13.352
00-0041185,Vinny Anthony II,WR,ATL,23.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040298,Andrew Armstrong,WR,KC,25.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036849,Tutu Atwell,WR,MIA,26.88,1.7730000000000001,3.137,30.141,0.10200000000000001,0.583,0.0,5.5329999999999995
00-0037837,Calvin Austin III,WR,NYG,27.42,1.953,3.364,25.207,0.189,0.7120000000000001,0.012,5.871
00-0037231,Kevin Austin Jr.,WR,NO,26.4,1.714,3.125,19.664,0.1,0.336,0.0,4.314
00-0040170,Elic Ayomanor,WR,TEN,23.23,2.56,5.56,32.19,0.25,0.0,0.0,7.28
00-0035602,Alex Bachman,WR,LA,30.24,0.27,0.315,2.405,0.0,0.0,0.0,0.511
00-0036959,Michael Bandy,WR,DEN,28.72,0.5,0.5,6.25,0.125,0.0,0.0,1.875
00-0036550,Rashod Bateman,WR,BAL,26.74,1.9989999999999999,3.556,27.683999999999997,0.257,0.24,0.0,6.423
00-0040912,Hank Beatty,WR,TEN,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040729,Jack Bech,WR,LV,23.69,1.43,2.07,16.0,0.0,0.0,0.0,3.03
00-0031235,Odell Beckham Jr.,WR,NYG,33.8,0.8360000000000001,1.589,10.136000000000001,0.042,0.0,0.0,2.079
00-0041525,Chris Bell,WR,MIA,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041342,Dillon Bell,WR,MIN,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038647,Ronnie Bell,WR,NO,26.57,0.742,1.65,8.446,0.296,0.0,0.0,3.3640000000000003
00-0041443,Skyler Bell,WR,BUF,24.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040894,Malik Benson,WR,LV,23.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040247,Junior Bergen,WR,NYJ,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041489,Germie Bernard,WR,PIT,22.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034419,Braxton Berrios,WR,NYG,30.89,1.088,1.613,7.601000000000001,0.012,0.13799999999999998,0.0,1.9340000000000002
00-0036491,Tarik Black,WR,DET,28.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036463,Chris Blair,WR,ATL,28.88,0.15,0.3,2.55,0.0,0.0,0.0,0.405
00-0038752,Jake Bobo,WR,SEA,28.06,0.796,0.984,7.476,0.052000000000000005,0.042,0.014000000000000002,1.956
00-0040782,Isaiah Bond,WR,CLE,22.45,1.2,2.93,22.53,0.0,1.93,0.0,3.65
00-0041467,Lewis Bond,WR,HOU,23.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041037,Denzel Boston,WR,CLE,22.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033307,Kendrick Bourne,WR,ARI,31.06,2.943,4.2219999999999995,37.456,0.124,0.25,0.0,7.416
00-0038608,Kayshon Boutte,WR,NE,24.3,2.175,3.4699999999999998,32.727000000000004,0.275,0.0,0.0,7.129
00-0041205,Brady Boyd,WR,JAX,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041176,Jaden Bradley,WR,WAS,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040977,Cortez Braham,WR,BAL,26.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041044,Zachariah Branch,WR,ATL,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040323,Chandler Brayboy,WR,JAX,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041047,Chris Brazzell II,WR,CAR,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040970,Michael Briscoe,WR,MIN,24.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041187,Le'Meke Brockington,WR,ATL,24.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038640,Jalen Brooks,WR,ARI,26.3,1.0,1.75,13.791,0.024,0.0,0.0,2.5300000000000002
00-0035676,A.J. Brown,WR,NE,29.15,5.393000000000001,8.131,75.465,0.479,0.0,0.0,15.756999999999998
00-0041099,Barion Brown,WR,NO,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040930,Camden Brown,WR,DAL,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036626,Dyami Brown,WR,WAS,26.82,1.6600000000000001,2.769,18.579,0.078,1.884,0.0,4.045
00-0035662,Marquise Brown,WR,PHI,29.22,3.6639999999999997,6.114000000000001,40.825,0.217,0.35400000000000004,0.0,9.092
00-0033591,Noah Brown,WR,LV,30.63,2.239,3.877,34.069,0.067,-0.020000000000000004,0.0,6.052
00-0041374,Sincere Brown,WR,LAC,24.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038492,Jason Brownlee,WR,KC,27.57,0.25,0.5650000000000001,2.8000000000000003,0.05,0.0,0.0,0.8300000000000001
00-0040134,Pat Bryant,WR,DEN,23.71,2.38,3.77,29.08,0.08,0.0,0.0,5.75
00-0040735,Luther Burden III,WR,CHI,22.7,3.13,4.0,43.47,0.13,2.47,0.0,8.53
00-0039626,Cole Burgess,WR,PIT,26.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041132,Deion Burks,WR,IND,23.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037742,Treylon Burks,WR,WAS,26.42,1.221,2.521,15.077,0.06,0.46,0.0,3.146
00-0035529,Hakeem Butler,WR,DEN,30.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040953,Jeff Caldwell,WR,KC,23.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040431,Dalen Cambre,WR,NYG,25.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041100,Josh Cameron,WR,JAX,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040629,Dalevon Campbell,WR,LAC,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040324,Cam Camper,WR,NYJ,25.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037156,Irvin Charles,WR,SEA,29.37,0.0,0.07,0.0,0.0,0.0,0.0,0.0
00-0036900,Ja'Marr Chase,WR,CIN,26.48,7.395999999999999,10.679,89.46600000000001,0.638,0.9279999999999999,0.0,20.197000000000003
00-0035976,Dan Chisena,WR,CAR,29.5,0.22499999999999998,0.3,2.775,0.0,0.0,0.0,0.504
00-0040563,Efton Chism III,WR,NE,24.83,0.38,0.38,9.38,0.12,0.0,0.0,2.06
00-0041571,Liam Clifford,WR,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039491,Jalen Coker,WR,CAR,24.82,2.9662499999999996,4.0112499999999995,38.68125,0.23625000000000002,0.0,0.0,8.29125
00-0039901,Keon Coleman,WR,BUF,23.27,2.8175,4.717499999999999,37.0825,0.3225,0.2587499999999999,0.0,8.548749999999998
00-0041529,Kevin Coleman Jr.,WR,MIA,22.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040432,Beaux Collins,WR,ATL,23.69,0.5,1.5,6.25,0.0,0.0,0.0,1.12
00-0036554,Nico Collins,WR,HOU,27.44,5.132,7.929,79.678,0.48,0.594,0.035,16.277
00-0041547,KC Concepcion,WR,CLE,21.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038667,Elijah Cooks,WR,CAR,27.87,0.15000000000000002,0.2,1.9000000000000001,0.0,0.0,0.0,0.34
00-0040024,Darius Cooper,WR,PHI,24.76,1.5,1.83,15.33,0.0,0.0,0.0,3.03
00-0041511,Omar Cooper Jr.,WR,NYJ,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039920,Malachi Corley,WR,CLE,24.43,0.8,1.18125,5.3125,0.0,8.5625,0.0,2.03375
00-0037132,Britain Covey,WR,PHI,29.44,0.639,0.895,4.265000000000001,0.0,0.0,0.0,1.069
00-0039365,Jacob Cowing,WR,SF,25.55,0.10124999999999999,0.15,1.9987499999999998,0.0,0.17624999999999996,0.0,0.3187499999999999
00-0034054,River Cracraft,WR,WAS,31.81,0.72,0.9400000000000001,7.994,0.034,0.0,0.0,1.72
00-0038911,Malik Cunningham,WR,DET,27.89,0.0,0.0,0.0,0.0,0.5,0.0,0.05
00-0040086,Mac Dalena,WR,BUF,24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041399,CJ Daniels,WR,LA,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038573,Derius Davis,WR,LAC,25.95,0.527,0.6739999999999999,3.4719999999999995,0.039,2.193,0.0,1.405
00-0040443,Joaquin Davis,WR,PIT,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0037380,Kaden Davis,WR,CHI,27.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041481,Terrill Davis,WR,MIN,23.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040967,Jacob De Jesus,WR,KC,24.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041317,Nick DeGennaro,WR,NE,25.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038977,Tank Dell,WR,HOU,26.82,2.032,3.237,28.472,0.20299999999999999,1.9409999999999998,0.0,6.300000000000001
00-0031588,Stefon Diggs,WR,WAS,32.74,5.522,7.282,62.313,0.32799999999999996,0.358,0.036,13.979
00-0040705,Chimere Dike,WR,TEN,24.7,2.82,4.35,24.88,0.24,1.06,0.0,7.54
00-0041318,Kyle Dixon,WR,NE,25.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041319,Cameron Dorner,WR,NE,22.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032208,Phillip Dorsett,WR,LV,33.64,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0
00-0035500,Greg Dortch,WR,DET,28.24,2.164,2.769,18.121000000000002,0.203,1.233,0.04,5.529
00-0037741,Jahan Dotson,WR,ATL,26.43,1.584,2.884,19.458,0.083,0.279,0.0,4.04
00-0037816,Romeo Doubs,WR,NE,26.37,3.476,5.447,44.424,0.377,0.0,0.0,10.27
00-0041523,Caleb Douglas,WR,MIA,22.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038621,DeMario Douglas,WR,NE,25.71,2.906,4.2,33.627,0.152,1.5410000000000001,0.0,7.296
00-0038997,Josh Downs,WR,IND,25.04,4.152,6.194,43.968,0.257,0.198,0.0,10.106
00-0038953,Dylan Drummond,WR,ATL,26.6,0.585,0.915,3.5,0.0,0.0,0.0,0.935
00-0035021,Ashton Dulin,WR,IND,29.28,0.255,0.601,5.96,0.024,2.873,0.0,1.279
00-0041536,Kyre Duplessis,WR,DEN,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036331,Devin Duvernay,WR,ARI,28.95,0.377,0.652,2.8649999999999998,0.0,0.299,0.0,0.6910000000000001
00-0040609,Tru Edwards,WR,LA,25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040129,Emeka Egbuka,WR,TB,23.86,3.71,7.47,55.18,0.35,0.53,0.0,11.51
00-0031408,Mike Evans,WR,SF,33.01,4.392,7.833,59.277,0.579,0.0,0.0,13.775
00-0040954,Omari Evans,WR,KC,22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038092,Erik Ezukanma,WR,PHI,26.58,0.0,0.7,0.0,0.0,2.2,0.0,0.22000000000000003
00-0036646,Simi Fehoko,WR,ARI,28.8,0.39999999999999997,1.001,6.2010000000000005,0.1,0.0,0.0,1.621
00-0040154,Tai Felton,WR,MIN,23.45,0.25,0.25,2.08,0.0,0.0,0.0,0.46
00-0041042,Malachi Fields,WR,NYG,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040498,Dontae Fleming,WR,MIN,24.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040617,Luke Floriea,WR,CLE,24.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039410,Ryan Flournoy,WR,DAL,26.83,2.085,2.91625,24.042500000000004,0.16875,1.04375,0.0,5.5075
00-0039064,Zay Flowers,WR,BAL,25.95,4.797,6.866,65.03099999999999,0.27899999999999997,3.512,0.041999999999999996,13.431000000000001
00-0040621,Montorie Foster Jr,WR,SEA,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039868,Troy Franklin,WR,DEN,23.55,3.0437499999999997,5.06625,32.23375,0.26375,0.63125,0.0,8.08375
00-0038496,Xavier Gipson,WR,NYG,25.47,0.518,0.79,3.8810000000000002,0.018,0.887,0.012,1.2409999999999999
00-0033921,Chris Godwin Jr.,WR,TB,30.49,4.952999999999999,7.023,56.735,0.347,0.535,0.012,12.979
00-0040667,Matthew Golden,WR,GB,23.07,2.07,3.14,25.79,0.0,3.5,0.0,5.0
00-0040361,Stephen Gosnell,WR,BUF,24.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039816,Anthony Gould,WR,IND,25.39,0.15749999999999997,0.15749999999999997,1.4237499999999998,0.0,0.0,0.0,0.30374999999999996
00-0037828,Danny Gray,WR,PHI,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040383,Bryson Green,WR,ARI,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040419,Garrett Greene,WR,TB,24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041359,Wesley Grimes,WR,SF,22.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040461,Luke Grimm,WR,LAC,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040099,Xavier Guillory,WR,BAL,25.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041228,Sahmir Hagans,WR,IND,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035140,Mecole Hardman,WR,BUF,28.46,0.728,1.287,5.792,0.0,1.637,0.024,1.623
00-0040727,Tre Harris,WR,LAC,24.49,1.88,2.69,20.25,0.06,0.62,0.0,4.34
00-0039849,Marvin Harrison Jr.,WR,ARI,24.04,3.5062499999999996,6.3575,51.19125,0.38249999999999995,0.0,0.0,10.99125
00-0041506,Brandon Hayes,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040895,Emmanuel Henderson Jr.,WR,SEA,23.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040302,A.J. Henning,WR,MIA,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039329,Julian Hicks,WR,SEA,26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040130,Jayden Higgins,WR,HOU,23.69,2.41,4.0,30.88,0.35,0.0,0.0,7.62
00-0036410,Tee Higgins,WR,CIN,27.6,4.489,7.255,61.91,0.698,0.0,0.0,14.902000000000001
00-0041179,Chris Hilton Jr.,WR,GB,23.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0034854,KhaDarel Hodge,WR,SF,32.64,0.5820000000000001,1.28,8.827,0.027,0.0,0.0,1.623
00-0036165,Isaiah Hodgins,WR,NYG,27.84,1.435,2.357,14.671000000000001,0.127,0.0,0.0,3.628
00-0040048,Traeshon Holden,WR,DAL,24.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040120,Jimmy Holiday,WR,KC,24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033555,Mack Hollins,WR,NE,32.94,2.491,3.702,30.500999999999998,0.157,0.145,0.0,6.510999999999999
00-0040218,Jimmy Horn Jr.,WR,CAR,23.95,1.1,1.5,10.8,0.0,6.9,0.0,2.87
00-0041229,E.J. Horton,WR,IND,25.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040648,Tory Horton,WR,SEA,23.74,1.62,2.75,20.12,0.62,0.0,0.0,8.14
00-0037570,Dennis Houston,WR,TB,27.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040934,Jordan Hudson,WR,DAL,22.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0041407,Kyron Hudson,WR,CHI,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035406,Lil'Jordan Humphrey,WR,DEN,28.35,1.829,3.0940000000000003,20.369999999999997,0.14500000000000002,0.0,0.0,4.705
00-0041048,Ted Hurst III,WR,TB,22.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0038618,Xavier Hutchinson,WR,HOU,26.23,1.487,2.654,17.383,0.095,1.506,0.0,3.931
00-0038938,Jalin Hyatt,WR,NYG,24.91,1.009,2.351,10.513,0.0,0.0,0.0,2.064
00-0038619,Andrei Iosivas,WR,CIN,26.86,2.008,3.466,25.064,0.242,0.465,0.0,6.029999999999999
