name,position,age,team,games_played,targets,rush_attempts,receptions,receiving_yards,rushing_yards,receiving_tds,rushing_tds,fantasy_points,points_per_game,pass_attempts,passing_yards,passing_tds,interceptions,completions,value
Puka Nacua,WR,24.0,LA,16.0,166.0,10.0,129.0,1715.0,105.0,10.0,1.0,375.0,23.44,0.0,0.0,0.0,0.0,0.0,377.33500000000004
Jaxon Smith-Njigba,WR,24.0,SEA,17.0,163.0,0.0,119.0,1793.0,0.0,10.0,0.0,359.9,21.17,0.0,0.0,0.0,0.0,0.0,351.19823529411764
Tetairoa McMillan,WR,22.0,CAR,17.0,122.0,0.0,70.0,1014.0,0.0,7.0,0.0,211.4,12.44,0.0,0.0,0.0,0.0,0.0,259.0764705882353
Zay Flowers,WR,25.0,BAL,17.0,118.0,10.0,86.0,1211.0,62.0,5.0,1.0,243.3,14.31,0.0,0.0,0.0,0.0,0.0,248.91117647058826
Emeka Egbuka,WR,23.0,TB,17.0,127.0,2.0,63.0,938.0,9.0,6.0,0.0,195.7,11.51,0.0,0.0,0.0,0.0,0.0,231.9805882352941
Tee Higgins,WR,27.0,CIN,15.0,98.0,0.0,59.0,846.0,0.0,11.0,0.0,211.6,14.16,0.0,0.0,0.0,0.0,0.0,226.63333333333333
Jaylen Waddle,WR,27.0,DEN,16.0,100.0,2.0,64.0,910.0,28.0,6.0,0.0,194.1,12.13,0.0,0.0,0.0,0.0,0.0,194.15
Brian Thomas Jr,WR,23.0,JAX,14.0,91.0,3.0,48.0,707.0,21.0,2.0,1.0,138.8,9.91,0.0,0.0,0.0,0.0,0.0,189.42000000000002
Luther Burden III,WR,22.0,CHI,15.0,60.0,6.0,47.0,652.0,37.0,2.0,0.0,127.9,7.52,0.0,0.0,0.0,0.0,0.0,179.96999999999997
Marquise Brown,WR,28.0,PHI,16.0,74.0,0.0,49.0,587.0,0.0,5.0,0.0,137.7,8.61,0.0,0.0,0.0,0.0,0.0,143.935
Kyle Willimas,WR,23.0,NE,17.0,21.0,2.0,10.0,209.0,3.0,3.0,0.0,49.2,2.89,0.0,0.0,0.0,0.0,0.0,112.91529411764705
Calvin Ridley,WR,31.0,TEN,7.0,36.0,0.0,17.0,303.0,0.0,0.0,0.0,47.3,6.78,0.0,0.0,0.0,0.0,0.0,42.292857142857144
